gene,description
NME1,has a possible role in tumor metastasis (review)
NME1,"abnormal expressions of COX-2, p53, PCNA, and nm23 associate with malignant potential, lymph node metastasis and clinical stage, and they might therefore play a role in development of gastric cancer"
NME1,p53 gene regulates this metastasis suppressor gene in cultured tumor cells
NME1,Nm23-H1 may play an important role in suppressing the early steps of metastasis in sporadic cases of colorectal carcinomas
NME1,"Data suggest that the metastasis-suppressing activity of Nm23-H1 may depend on its oligomeric structure, but not on its NDP kinase activity."
NME1,"Heparanase, CD44v6 and nm23 may play important roles in the invasive infiltration and lymph node metastasis in gastric carcinomas."
NME1,a role of these tumor suppressor and metastasis suppressor genes in the evolution and progression of NSCLC
NME1,NDPK-A behaves as a metastasis promoter at least in human neuroblastoma derived from NB69 cells.
NME1,Enhanced expression of nm23H(1) protein can effectively inhibit colon cancer metastasis and improve prognosis of sporadic colon cancer patients.
NME1,Decreased nm23 was seen in poorly differentiated retinoblastomas and in retinoblastomas with invasiveness. May relate to molecular mechanisms and more accurate prediction of invasion and metastasis of retinoblastoma.
NME1,Nm23 protein is involved in the process of metastasis development in squamous cell carcinoma of the vulva.
NME1,Semi-quantitative RT-PCR revealed reduced mRNA expression of Nm23 in breast cancer brain metastasis.
NME1,results suggest nm23H1 might be involved in invasion and metastasis of esophageal squamous cell carcinoma but had no statistical correlation with HPV16
NME1,"Metastasis suppressor Nm23-H1 expression levels can impact traditional signaling pathways, such as the Erk pathway, resulting in altered tumor cell sensitivity to cancer therapeutics"
NME1,"Our preclinical results show that MPA appears to elevate Nm23-H1 metastasis suppressor gene expression, thereby reducing metastatic colonization. The data suggest a new use for an old agent in a molecularly defined subset of breast cancer patients"
NME1,nm23H1 protein could effectively restrain gastric cancer metastasis and development; and BRCA1 protein could restain tumor from becoming lower differentiation.
NME1,These data imply that nm-23 may be tumor suppressor gene involved in neck squamous cell carcinomas but that it may not function as a tumor metastasis suppressor in high-stage laryngeal carcinoma.
NME1,Expression of nm23 protein was significantly higher in the group without lymph node metastasis than those with lymph node metastasis in laryngeal squamous cell carcinoma.
NME1,"The expressions of KAI1, nm23, ETS-1 and VEGF proteins were highly related to microvascular density, cervical lymph node metastasis, and prognosis of nasopharyngeal carcinoma."
NME1,"The intensity of nm23 staining in the gastric tumor cells was not significantly correlated with depth of tumor infiltration (T-stage), lymph node metastasis (N-stage), distant metastasis (M-stage), UICC-stage, or prognosis."
NME1,"Nm23-H1 homologs -H2, -H4 and -H5 may suppress metastasis. Motility suppression appears to be cell context dependent, but sequence disparities between -H1/H2 and the other family members may reveal regions critical for this inhibitory phenotype."
NME1,Nm23-H1 down-regulation of EDG2 is functionally important to suppression of tumor metastasis in breast neoplasms.
NME1,"NM23 gene is a metastasis suppressor gene, which exhibits a reduced expression in metastatic tumor cells."
NME1,The high expressions of VEGF-C/VEGFR-3 and inactivation of nm23-H(1) may play an important role in lymphatic metastasis in oral squamous cell carcinoma.
NME1,Nm23-H1 can negatively regulate cell migration and tumor metastasis by modulating the activity of Cdc42 through direct interaction with Dbl-1.
NME1,"CD44 and nm23-H1 proteins play an important coordinated regulation role in the carcinogenesis, development and metastasis of laryngeal carcinoma."
NME1,Human metastasis regulator protein H-prune is a short-chain exopolyphosphatase
NME1,Nm23-H1 can negatively regulate cell migration and tumor metastasis by modulating the activity of Cdc42 and possibly other Rho family members through interaction with Dbl-1
NME1,"downregulation of nm23-H1 proteins was significantly associated with proliferation, invasion depth and lymph node metastasis of ESCC. statistically significant correlations between expression of beta-catenin and nm23-H1."
NME1,key enzymatic and metastasis suppressor functions of Nm23-H1 are regulated by oxido-reduction of its Cys109
NME1,Plakoglobin has a role in regulating the metastasis suppressor activity of Nm23.
NME1,Data demonstrated that the 3'-5' exonuclease activity of NM23-H1 is necessary for metastasis suppressor function.
NME1,"The prognostic significance of the genes casein kinase 2 alpha subunit (CSNK2A1), anti-apoptosis clone-11 (AAC-11), and tumor metastasis suppressor NME1 in completely resected non-small cell lung cancer (NSCLC) patients, was analysed."
NME1,"Data show that the loss of Nm23-H1, an event suspected to promote metastasis, may additionally function at an earlier stage of tumor development to drive the acquisition of chromosomal instability."
NME1,NM23-H1 gene may be the upstream regulator of metastasis-associated genes in lung cancer.
NME1,"Our findings suggest a correlation between high levels of NM23-H1 protein in the cytoplasm of the cells and progression of prostate cancer to metastasis, thus definitively identifying NM23-H1 as a new negative prognostic marker in prostate cancer."
NME1,"nm23-H1 behaves as a metastasis suppressor in nasopharyngeal carcinoma, and nm23-H1 downregulation in the is a biomarker for poor NPC prognosis."
NME1,ROC curve showed that NM23HI expression was a strongly correlated (r=0.816) sensitive and specific metastasis marker. NM23HI expression did not show asignificant relationship with histologic degree of invasive ductal carcinoma.
NME1,the present findings do not support a significant role of Nm23-H1 in metastasis suppression of LLSCC
NME1,Single nucleotide polymorphisms (SNPs) in the promoter regions of non-metastatic cells 1 gene is associated with lymph node metastasis of gastric cancer.
NME1,"NM23H1 gene suppresses hyperplasia and metastasis of prostate cancer, thereby improving the survival rate."
NME1,The metastasis suppressor NME1 regulates expression of genes linked to metastasis and patient outcome in melanoma and breast carcinoma.
NME1,Regulation of the metastasis suppressor Nm23-H1 by tumor viruses
NME1,"Using the described method for detecting histidine and aspartic acid phosphorylations and our prostate cancer progression cell system, the potential function of NM23-H1 in suppressing metastasis with a two-component regulation system is discussed"
NME1-NME2,Plakoglobin has a role in regulating the metastasis suppressor activity of Nm23.
NME2,The results demonstrate that reduced NME2 levels lead to transcriptional de-repression of vinculin and regulate lung cancer metastasis.
NME2,A novel mechanism of CARMA3 in lung cancer stemness and metastasis through the negative regulation of NME2 was identified.
NME3,Down-regulated DR-nm23 expression is associated with invasion and metastasis in colorectal cancer.
NME9,Thioredoxin-like protein 2 is overexpressed in colon cancer and promotes cancer cell metastasis by interaction with ran.
NMU,"Overexpression of neuromedin U is associated with bladder tumor formation, lung metastasis and cancer cachexia"
NOB1,"NOB1 expression is higher in colorectal cancer than in normal colorectal tissues. Expression was not correlated to such tumor characteristics as gender, age, histological differentiation grade, depth of invasion and lymph node metastasis."
NOB1,NOB1 expression status was closely correlated with important histopathologic characteristics and the recurrence and metastasis of prostate carcinomas.
NOB1,Downregulation of miR-326 inhibited tumor proliferation and tumor metastasis by directly targeting NOB1 in colorectal carcinoma. Upregulation of miR-326 in CRC cells was revealed to be associated with a feedback loop involving downregulation of the NOB1.
NOD2,NOD2 (rs9302752) and RIPK2 (rs42490) were found to be associated with development of lymph node metastasis.
NOG,"evidence for a model of osteolytic bone metastasis where constitutive secretion of noggin by cancer cells mediates inhibition of bone formation, thereby preventing repair of osteolytic lesions generated by an excess of osteoclast-mediated bone resorption."
NOL3,"Data show that ARC promotes breast carcinogenesis by driving primary tumor growth, invasion, and metastasis as well as by promoting chemoresistance in invasive cells."
NOL3,Increased ARC expression is associated with liver metastasis of colorectal cancer.
NOS2,Increased expression of iNOS may be responsible for gastric carcinogenesis and tumor aggressiveness of gastric cancer and correlates significantly with lymph node metastasis in northern China.
NOS2,expressions of iNOS and VEGF may serve as indexes for evaluating staging of gastric carcinoma and forecasting its risk of metastasis
NOS2,"Positive inducible nitric oxide synthase immunoreactivity was seen in 54.03% of gastric cancer specimens, which was correlated with lymph node metastasis, vascular invasion, distant metastasis, and TNM stage."
NOS3,Data show that that eNOS4a/b polymorphism and plasma NOx levels were predictive factors for developing bone metastasis and high stage disease after adjustment for age and BMI.
NOTCH1,"Ligand-induced Notch activation, through the induction of Slug, promotes tumor growth and metastasis characterized by epithelial-to-mesenchymal transition."
NOTCH1,activation of Notch signaling might play a crucial role in brain metastasis
NOTCH1,"Notch1 protein was overexpressed in breast invasive ductal carcinoma. High expression correlated significantly with lymph node metastasis, pathological grades and TNM stages."
NOTCH1,The expression Notch1 protein in tongue carcinoma was higher than adjacent non-neoplastic tongue tissues. Notch1 was significantly more highly expressed in lymph node metastasis-positive tongue carcinoma.
NOTCH1,"NF-kappaB and Notch1 signaling contribute to lymph nodes metastasis and tumor-induced lymphangiogenesis of esophageal squamous cell carcinoma (ESCC), and reveal that up-regulation of NF-kappaB is associated with down-regulation of Notch1 in tumor tissue."
NOTCH1,Down-regulation of Notch1 could be an effective approach for inhibition of the expression of matrix metalloproteinase (MMP)-2 and MMP-9 resulting in the inhibition of invasion and metastasis.
NOTCH1,"Notch1, Jagged1, and Delta1 expressions might be useful markers for clinical prognosis of ovarian carcinomas. High Notch1 immunoreactivity was shown in spheroids. Notch1 immunohistochemistry correlated with metastasis of ovarian cancer."
NOTCH1,"this study shows the significant association between the Notch1 receptor and poor prognostic factors, including lymph node metastasis, in patients with papillary thyroid cancer."
NOTCH1,"Data suggest Notch1/NICD (intracellular Notch domain) are up-regulated at invasive tumor front in oral squamous cell carcinoma; Notch1 expression correlates with pathological stage, clinical stage, invasiveness, proliferation, and perhaps metastasis."
NOTCH1,"Results reveal that Notch1 expression is a potential prognostic factor for malignant progression, metastasis, and survival of laryngeal squamous cell carcinoma patients."
NOTCH1,"miR-139-5p plays a pivotal role in colon cancer through inhibiting cell proliferation, metastasis, and promoting apoptosis and cell cycle arrest by targeting oncogenic NOTCH1"
NOTCH1,our results suggest that the JAG1/Notch1/OPN cascade represents a potential therapeutic target for hepatocellular carcinoma metastasis.
NOTCH1,Notch-1 knockdown suppresses the growth and migration of salivary adenoid cystic carcinoma (SACC) cells in vitro and the metastasis of SACC cells in vivo.
NOTCH1,IL-1beta and IL-1R1 promote cancer growth and metastasis by up-regulating CXCR4 expression and that CXCR4 may be a link between inflammation and cancer.
NOTCH1,"Notch1 expression is increased in human LSCC and correlates with tumorigenesis and metastasis, while in HEp-2 cells, Notch1 knockdown inhibited cell growth, induced apoptosis and inhibited migration and invasion by regulating Notch1 target genes."
NOTCH3,"our results suggest that enhanced Notch3 expression in breast cancer cells, triggered by osteoblasts and their secretion of TGFbeta1 in the bone marrow niche, may stand as a novel mechanism for promoting bone metastasis."
NOTCH3,Wnt3a and Notch3 may promote the metastasis of non-small cell lung cancer and Notch3 upregulation is required for the Wnt3a mediated increased metastatic abilities of non-small cell lung cancer.
NOX1,Enforced NOX1 expression promoted TLR4 signaling-enhanced NSCLC metastasis.
NPEPPS,"PSA gene was downregulated in PC-3 cells that were treated with CoCl(2). PSA is involved in the proliferation, migration, and invasion of PC-3 cells, which are important determinants of metastasis, via a mechanism that involves MMP-9 modulation."
NPPA,ANP prevents cancer metastasis by inhibiting the adhesion of tumor cells to inflamed endothelial cells
NR1H4,FXR overexpression plays an important role in lymphatic metastasis of pancreatic cancer and downregulation of FXR is an effective approach for inhibition of pancreatic tumour progression.
NR1H4,"Compared with normal gallbladder tissues, FXR expression was decreased and MCL1 expression was increased in GBC, during progression of tumor node metastasis (TNM) stage"
NR2C2,A role for TR4 in prostate cancer metastasis via CCL2/CCR2 signaling.
NR2C2,TR4 may increase prostate cancer metastasis and invasion via decreasing the miR-373-3p expression that resulted in the activation of the TGFbetaR2/p-Smad3 signals.
NR2E3,Study presents evidence that PNR could promote ERalpha-negative breast cancer metastasis through activation of IL-13Ralpha2-mediated signaling pathway.
NR2F2,Overexpression of COUP-TFII was required for cancer cells to metastasise in vivo.
NR2F2,Positive COUP-TF II expression levels has significant value in determining CRC stage and metastasis and cooperates with negative Smad4 expression contributing to assess prognosis in patients with colorectal cancer.
NR4A1,Nur77 has a role in the stabilization of HIF-1alpha and in tumor progression and metastasis
NR4A1,our study demonstrated that Nur77 could promote the invasion and metastasis of colorectal cancer cells through regulation of MMP-9/E-cadherin signaling
NR4A2,NR4A2 was significantly down-regulated in synchronous liver metastasis compared with the paired gastric cancer.
NRAS,"RAS mutation, especially a NRAS codon 61 mutation, was significantly associated with the distant metastasis in follicular thyroid carcinoma"
NRAS,NRAS gene mutation was significantly associated with lung metastasis.
NRF1,Low NRF1 expression was associated lymphatic metastasis and radio-resistance in nasopharyngeal carcinoma.
NRG1,Snail upregulation by HRG-beta1 is mediated via the PI3K/Akt signaling pathway and Snail plays a key role in HRG-beta1 induced breast cancer cell metastasis through induction of EMT
NRG1,"The constitutive activation of ERBB3-dependent signaling via the NRG1/ERBB3 autocrine loop plays a crucial role in the regulation of cell motility and invasion, which contribute to intrahepatic metastasis and early recurrence of hepatocellular carcinoma."
NRP1,"Data indicate that neuropilin 1 is highly expressed in pancreatic ductal adenocarcinomas (PDACs), and is significantly correlated with angiogenesis, advanced tumor-node-metastasis stage, p T stage, node invasion, and poor postoperative overall survival."
NRP1,High NRP1 expression levels are associated with lymph node metastasis in oral squamous cell carcinoma.
NRP2,"Neuropilin-2 in breast cancer has a role in lymph node metastasis, poor prognosis, and regulation of CXCR4 expression"
NRP2,"It was concluded that hypoxia regulates VEGF and SE MA3F activities through transcriptional repression of their common receptor NRP2, providing a novel mechanism by which hypoxia induces tumor angiogenesis, growth and metastasis."
NRP2,Nrp2 expression was correlated with lymph node metastasis and VEGF-D expression in papillary thyroid carcinoma. Our data also showed a role for Nrp2 in regulating VEGF-D-induced invasion and migration in vitro.
NRP2,Neuropilin-2 expression is inhibited by secreted Wnt antagonists and its down-regulation is associated with reduced tumor growth and metastasis in osteosarcoma
NT5E,Expression of ecto-5'-nucleotidase in melanoma correlates with a number of metastasis-related markers and thus may have a function in this process.
NT5E,CD73 is coexpressed with metastasis promoting antigens in human melanoma cells
NT5E,"concluded that CD73 can promote endothelial cells forming new vessels in cancer condition, facilitating tumor growth and hematogenous metastasis"
NTN1,Higher netrin-1 and lower UNC5B expression in all prostate carcinoma cell lines indicated that netrin-1 and UNC5B could be used to predict metastasis.
NTRK1,CEP-701 could be used to reduce the metastasis formation in advanced prostatic cncer by inhibiting NTRK1.
NTRK1,TRKA overexpression enhances growth and metastasis of breast cancer cells.
NTRK1,"These results suggest that TrkA, TrkB, TrkC may contribute to growth and metastasis of liver cancer."
NTRK2,TrkB may be a mediator as well as a marker of carcinogenesis and metastasis.
NTRK2,"TrkB kinase activity is required and, unexpectedly, also sufficient for anoikis suppression, tumor formation, and experimental metastasis"
NTRK2,TrkB abnormal expression rate of nasopharyngeal carcinoma with lymph node metastasis was higher than that of NPC without lymph node metastasis.
NTRK2,These data demonstrate that TrkB may contribute to metastasis by facilitating formation of multicellular aggregations and induce their resistance to detachment-induced apoptosis.
NTRK2,"As an anoikis-suppressor, TrkB may increase the invasion and metastasis of OVCAR3 ovarian cancer cells."
NTRK2,"overexpression of TrkB in colon cancer possibly plays roles in inhibiting apoptosis, promoting proliferation and invasion, facilitating tumor progression by lymphangiogenesis-associated metastasis."
NTRK2,"higher expression of TrkB in NSCLC is closely correlated with lymph node metastasis, and BDNF probably via TrkB/Pyk2/ERK promotes the invasion of A549 cells"
NTRK2,"These results suggest that TrkA, TrkB, TrkC may contribute to growth and metastasis of liver cancer."
NTRK2,TrkB was overexpressed in ovarian serous adenocarcinomas and might be involved in cancer metastasis by associated lymphangiogenesis.
NTRK2,The expressions of TrkB and TRIM29 are correlated with lymph node metastasis in gastric cancer.
NTRK2,"High TrkB expression is associated with neovascularization, tumor progression, and nodal metastasis in oral squamous cell carcinoma."
NTRK2,"An important function of TrkB is to protect CRC cells from anoikis in the circulatory and lymphatic systems, and that TrkB could be a promising candidate in CRC therapy, especially in the inhibition of cancer metastasis."
NTRK3,Overexpression of TrkC is associated with breast tumor growth and metastasis.
NTRK3,"These results suggest that TrkA, TrkB, TrkC may contribute to growth and metastasis of liver cancer."
NUAK1,overexpression of ARK5 is associated with tumor invasion and metastasis
NUCB2,High NUCB2 is associated with recurrence and metastasis in breast carcinoma.
NUCKS1,"Through a combination of gene expression and copy number analysis, NUCKS1 was identified as a candidate gene involved in the distant metastasis of colorectal cancer."
NUDCD1,"CML66 may play an oncogenic role in ways of favoring tumor cells proliferation, invasion and metastasis-associated with multiple pathways."
NUPR1,"p8 expression controls pancreatic cancer cell migration, invasion and adhesion, three processes required for metastasis, at least in part, through CDC42, a major regulator of cytoskeleton organization."
OCIAD1,Over-expressed in metastatic ovarian cancer. Effect of OCIAD1 on cell adhesion may be related to its function in ovarian cancer. Possibility of OCIAD1's role in tumor metastasis.
OCIAD1,OCIAD1 is a potential biomarker of thyroid carcinoma but had no significant additive effect on the risk of distant metastasis.
OCLN,"Occludin expression decreased progressively in parallel with the increase in carcinoma grade, and the decreased occludin expression correlated with myometrial invasion and lymph node metastasis"
ODAM,"ODAM induced RhoA activity. ODAM-mediated RhoA signalling resulted in actin filament rearrangement, increased cell adhesion and inhibited the migration/invasion of MCF7 cells. These results suggest that ODAM expression maintains their adhesion, resulting in the prevention of their metastasis via the regulation of RhoA signalling in breast cancer cells."
ODC1,"Among colorectal cancer patients, ODC activity in cancer tissue was correlated with T factors, lymph node metastasis and stages."
OGG1,Authors demonstrate proof of concept that mtDNA damage results in breast cancer progression and metastasis in vivo.
OGT,Decrease in MGEA5 and increase in O-GlcNAc transferease expression in higher grade tumors suggests that increased O-GlcNAc modification may be implicated in breast tumor progression and metastasis.
OLR1,"Increased serum ox-LDL level and OLR1 expression may indicate advanced-stage PCa and lymph node metastasis. Moreover, ox-LDL could stimulate PCa proliferation, migration, and invasion in vitro."
ONECUT1,Reduced HNF6 expression is associated with metastasis of cholangiocarcinoma.
OPCML,"The results were confirmed at the level of mRNA and protein, and suggested that four genes (OPCML, RNASE1, YES1 and ACK1) could play a key role in the tumorigenesis and metastasis of gastric cancer."
OPRM1,"Overexpression of mu-opioid receptor in human bronchoalveolar carcinoma cells increases primary tumor growth rates in nude mice by approximately 2.5-fold and lung metastasis by approximately 20-fold, compared with vector control cells."
OPRM1,Cytoplasmic MOR1 may be a high-risk factor for lymph node metastasis of Esophageal Squamous Cell Carcinoma patients.
ORAI1,Data demonstrate a role for Orai1 and STIM1 in tumor metastasis and suggest store-operated calcium entry channels as potential cancer therapeutic targets.
ORM2,Low ORM2 expression is associated with metastasis in hepatocellular carcinoma.
OSBPL5,Results show that OSBPL5 and CALU were expressed at higher levels in the lung tissues of metastasis-positive cases than that in the metastasis-negative cases suggesting they can promote invasiveness of lung cancer cells.
OSM,OSM induces a motile/invasive phenotype in T-47D human breast cancer cells in vitro; OSM may enhance metastasis in vivo.
OSM,"TGFBI and periostin, extracellular matrix proteins implicated in tumorigenesis and metastasis, were identified as oncostatin M-induced secreted proteins in mesenchymal stem cells."
OTUB1,OTUB1 promoted the metastasis of CRC cell lines.
P2RY2,P2Y2R may play an important role in cancer metastasis via modulation of the crosstalk between cancer cells and endothelial cells.
P4HA2,Overexpression of PRDX4 and P4HA2 was significantly associated with lymphatic metastasis in oral cavity squamous cell carcinoma
PAG1,CBP may decrease the metastasis of esophageal carcinoma by inhibiting the activation of Src.
PAK1,"Overexpression of Pak1 was associated with progression, metastasis and prognosis of gastric cancer."
PAK1,"Suggest that Rac1 activity and Pak1 are involved in lymphovascular invasion and lymph node metastasis of urothelial carcinoma of the upper urinary tract , and may be prognostic markers for this disease."
PAK1,Results suggest that activated Pak1 regulates colorectal cancer metastasis requiring an ERK-dependent phosphorylation of FAK at Ser-910.
PAK1,Pak1 is overexpressed in gastric cancer and plays an important role in the metastasis of gastric cancer. The mechanism by which Pak1 induces cancer metastasis may involve activation of ERK and JNK.
PAK1,"Positive rates of Rac1, Pak1 and Rock1 expression in normal tissue, dysplasia and gastric carcinoma show an increasing trend and are correlated with tumor lymph node metastasis and TNM stage."
PAK1,PAK1 is overexpressed during tumorigenic progression and its upregulation correlates with malignant properties mainly relevant to invasion and metastasis.
PAK1,high PAK1 expression in PTs is predictive of node metastasis and can be easily integrated in the clinical decision process for personalized therapeutics of GEJA.
PAK1,A pivotal role for PRL/PAK1 signaling in breast cancer metastasis.[review]
PAK1,PAK1 and PAK4 expression were associated with colorectal cancer metastasis and infiltration
PAK1,Study indicates that PAK1 is important in metastasis and progression of primary esophageal small cell carcinoma. The contribution of PAK1 to clinical outcomes may be involved in regulating DNA damage pathway.
PAK4,PAK4 is closely correlated to the progression and metastasis of breast cancer.
PAK4,Findings reveal that CDK5RAP3 is widely overexpressed in hepatocellular carcinoma and that overexpression of CDK5RAP3 promotes HCC metastasis through PAK4 activation
PAK4,PAK1 and PAK4 expression were associated with colorectal cancer metastasis and infiltration
PAK5,"Study demonstrated that PAK5 expression increased significantly with malignant progression of CRC (colorectal cancer), and that PAK5 might promote CRC metastasis by regulating CRC cell adhesion and migration."
PAK5,"E47 is a novel substrate of PAK5, and PAK5-mediated phosphorylation of E47 promotes epithelial-mesenchymal transition and metastasis of colon cancer."
PALLD,A model whereby palladin-activated fibroblasts facilitate stromal-dependent metastasis and outgrowth of tumorigenic epithelium.
PAQR3,PAQR3 is markedly down-regulated in human gastric cancers. PAQR3 expression level is closely associated with the progression and metastasis of gastric cancers
PAQR3,findings not only pinpoint that Twist1 mediates the modulatory function of PAQR3 on EMT and metastasis but also suggest that targeting Twist1 is a promising strategy to control metastasis of tumors with downregulation of PAQR3
PARD3,Data show that increased partitioning defective 3 (Par-3) expression is associated with distant metastasis and poor survival rates in patients with hepatocellular carcinoma (HCC).
PARD3,Shp2 promotes metastasis of prostate cancer by attenuating the PAR3/PAR6/aPKC polarity protein complex and enhancing epithelial-to-mesenchymal transition
PARD6A,Shp2 promotes metastasis of prostate cancer by attenuating the PAR3/PAR6/aPKC polarity protein complex and enhancing epithelial-to-mesenchymal transition
PARK7,DJ-1 gene expression may play an important role in the invasion and metastasis of hepatocellular carcinoma.
PARK7,DJ-1 expression was found to be significantly correlated with lymphatic metastasis of non-small cell lung cancer.
PARK7,"data represent the first identification of an important function of DJ-1, which is to regulate the invasion and metastasis properties of pancreatic ductal adenocarcinoma through the ERK/uPA cascade"
PARK7,Increased expression of MIF and DJ-1 induced cell invasion and metastasis of nasopharyngeal carcinoma.
PARP1,This variant can interact with ADPRT-762Ala variant to further substantially increase susceptibility to the disease and regional LN metastasis.
PARP1,"The PARP1 rs1136410 genotype was significantly associated with the frequency of lymphatic metastasis of gastric cancer, LNM stage & tumor invasion. Epistasis between PARP1 rs1136410 and MMP2 rs243865 increased the risk of LNM of GC."
PARP1,"These results suggest that inhibition of PARP interferes with key metastasis-promoting processes, leading to suppression of invasion and colonization of distal organs by aggressive metastatic cells."
PARVA,"Actopaxin plays a role in hepatocellular carcinoma progression and metastasis, by way of regulation of cell invasiveness and motility, an epithelial-mesenchymal transition process, and chemosensitivity to cytotoxic drugs."
PARVA,PARVA promotes metastasis by modulating ILK signalling pathway in lung adenocarcinoma
PARVB,PARVB overexpression is a candidate biomarker for endophytic tumours and metastasis.
PAX2,"PAX2 can regulate ADAM10 expression, a metalloproteinase known to play important roles in melanoma metastasis."
PAX2,Results showed that PAX2 expression is significantly overexpressed in esophageal squamous cell carcinoma tissues and IL-5 is identified as PAX2's effector for metastasis.
PAX3,expression of PAX3 is correlated with metastasis potential--REVIEW
PAX3,miR-206-PAX3-MET signaling is critical to GC metastasis.
PAX4,PAX4-miR-144/451-ADAMs axis regulates human epithelial cancer metastasis
PAX5,Pax-5 plays a key role in phenotypic transitioning during metastasis through the regulation of FAK1 activity. (Review)
PAX7,expression of PAX7 is correlated with metastasis potential--REVIEW
PAX7,these results suggest that sarcoma metastasis can be partially controlled through Pax7/MyoD-dependent activation of miR-182 and provide insight into the role that myogenic transcription factors have in sarcoma progression
PAX8,"There was no correlation between the extent of capsular or vascular invasion and PAX8-PPARgamma translocation, or between lymph node or haematogenous metastasis and PAX8-PPARgamma translocation in thyroid carcinomas."
PBX3,PBX3 induces invasion and metastasis of colorectal caner cells partially through activation of the MAPK/ERK signaling pathway.
PBXIP1,"HPIP may play critical role in oral carcinogenesis and is potential target for anticancer therapy, with particular emphasis on its involvement in differentiation and migration/metastasis."
PCA3,Prostate cancer gene 3 gene expression discriminates LN metastasis and might outperform prostate specific antigen gene activity in reflecting tumor cell burden in pelvic LNs of PCa patients.
PCBP1,PCBP1 is a central player in the molecular mechanism causing EMT in GBC-SD cells after TGF-beta treatment; PCBP1 might serve as a useful biomarker for predicting prognosis of gall bladder cancer metastasis
PCBP1,Findings provide mechanistic evidence for HOTAIR overexpression and PCBP1 downregulation in gastric cancer metastasis and their correlation with poor survival.
PCDH10,Loss of PCDH10 expression is associated with metastasis in colorectal cancer.
PCDH9,Loss of PCDH9 is associated with the differentiation of tumor cells and metastasis in gastric cancer
PCMT1,"A potential role for PIMT in biological processes such as wound healing, cell migration, and tumor metastasis dissemination."
PCNA,"abnormal expressions of COX-2, p53, PCNA, and nm23 associate with malignant potential, lymph node metastasis and clinical stage, and they might therefore play a role in development of gastric cancer"
PCNA,Detection of PCNA and CD44mRNA expression in colorectal cancer may be useful for evaluating liver metastasis of cancer cells.
PCNA,"E-cad, CD44v6 and PCNA play important roles in invasion and metastasis of non-small cell lung cancer (NSCLC)."
PCNA,"VEGF, but not PCNA may play a role in tumor recurrence and metastasis following photodynamic therapy"
PCNA,Statistically significant correlation was found between PCNA expression and the presence of lymphogenous metastasis of squamous cell carcinoma of the larynx.
PCSK9,"PCSK9 enhances liver metastasis development through its role in maintaining high circulating cholesterol levels and protects HepG2 cells, primary hepatocytes, and liver stroma and metastases against apoptosis."
PDCD1,"the study identified expression of PD-1 was upregulated on CD4+ T and CD8+ T cells from peripheral blood mononuclear cells in osteosarcoma, in which PD-1 was further increased in patients with metastasis, high tumor stage or pathological bone fracture."
PDCD4,"Recent findings indicate that the microRNA miR-21 posttranscriptionally regulates Pdcd4, as well as invasion, intravasation, and metastasis of colon cancer."
PDCD4,"Data indicate that PDCD4 may play a critical function in arresting cell cycle progression at key checkpoint, thus inhibiting cell proliferation, as well as suppressing tumour metastasis."
PDCD4,"miR-21 is a key player in oncogenic EMT, its overexpression is controlled by the cooperation of genetic and epigenetic alterations, and its levels, along with ITGbeta4 and PDCD4 expression, could be exploited as a prognostic tool for CRC metastasis."
PDCD6IP,"Our data reveal that AIP1, by inhibiting VEGFR2-dependent signaling in tumor niche, suppresses tumor EMT switch, tumor angiogenesis, and tumor premetastatic niche formation to limit tumor growth and metastasis."
PDGFB,"Overexpression of PDGF-B was associated with peripheral blood, sentinel lymph node and bone marrow micro-metastasis in breast cancer"
PDGFB,Data indicate that secretion of PDGF-B by gastric carcinoma cells and expression of PDGF-Rbeta by tumor-associated stromal cells are associated with lymphatic metastasis.
PDGFRA,PDGFRalpha expression in colorectal cancer significantly correlated with lymph node metastasis.
PDGFRA,"PDGFRA is involved in tumor angiogenesis & maintenance of the tumor microenvironment & is implicated in development & metastasis of HCC, as well as playing a role in normal angiogenesis and embryo development. Review."
PDGFRA,Data show that induction of PDGFRalpha and invadopodia is essential for Twist1 to promote tumor metastasis.
PDGFRA,Data indicate that the secreted glycoprotein stanniocalcin-1 (STC1) as a mediator of metastasis by PDGF receptor function in the setting of colorectal cancer.
PDGFRA,PDGFRA mutations are associated with recurrence and metastasis in gastrointestinal stromal tumors.
PDGFRA,Microarray data of the expression level of key genes reveals that PDGFRA is critical for cervical cancer invasion and metastasis.
PDGFRB,Data indicate that secretion of PDGF-B by gastric carcinoma cells and expression of PDGF-Rbeta by tumor-associated stromal cells are associated with lymphatic metastasis.
PDGFRB,Study combined several orthogonal approaches and models to explore the basis whereby mutant p53 promotes invasion and metastasis in pancreatic ductal adenocarcinoma (PDAC)and identified the PDGFRb as necessary and sufficient to mediate the effects of mutant p53 on invasion and metastasis in both a murine model and human PDAC cells.
PDGFRB,Increased expression of platelet-derived growth factor receptor-beta in pancreatic cancer cells is mediated by DNA binding and structural mutants of p53 and that this contributes to metastasis
PDIA3,ERp57 appears as a multifunctional chaperone that can regulate diverse biological processes to maintain the homeostasis of breast cancer cells and promote the development of bone metastasis.
PDLIM1,"Our results identify CLP36 as an important regulator of breast cancer cell migration and metastasis, and shed light on how increased CLP36 expression contributes to the progression of breast cancer."
